INSTNM,CITY,STABBR,CONTROL,UGDS,C150_4,COSTT4_A,COSTT4_A_IMP,TUITIONFEE_IN,TUITIONFEE_IN_IMP,TUITIONFEE_OUT,TUITIONFEE_OUT_IMP,PCTPELL,GRAD_DEBT_MDN,MD_EARN_WNE_P10,ROI,ZIP,LATITUDE,LONGITUDE
Central Yeshiva Tomchei Tmimim Lubavitz,Brooklyn,NY,2,863.0,0.0513,29697.0,29697.0,8400.0,8400.0,8400.0,8400.0,0.6395,,35023.0,3.3917140165034407,11213-2798,40.669694,-73.938778
Christine Valmy International School for Esthetics Skin Care & Makeup,New York,NY,3,641.0,,,31946.0,,16657.0,,16657.0,0.3066,5478.0,40747.0,3.136034554691143,10036,40.757105,-73.986466
Circle in the Square Theatre School,New York,NY,2,39.0,,41990.0,41990.0,25610.0,25610.0,25610.0,25610.0,0.1,,39899.0,4.209629314017895,10019-6795,40.762059,-73.984607
Clarkson University,Potsdam,NY,2,2196.0,0.7491,79022.0,79022.0,59398.0,59398.0,59398.0,59398.0,0.2157,26000.0,89696.0,3.5239921512665,13699,44.662716,-74.999359
Clinton Community College,Plattsburgh,NY,1,400.0,,16318.0,16318.0,6831.0,6831.0,6831.0,6831.0,0.2322,13250.0,39246.0,1.6631503847525861,12901,44.64841,-73.439739
Cochran School of Nursing,Yonkers,NY,2,117.0,,,46093.0,,29060.0,,29082.0,0.4474,19625.0,99503.0,1.8529290574153543,10701,40.969116,-73.885705
Colgate Rochester Crozer Divinity School,Rochester,NY,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,,40747.0,4.524799371732889,14607,43.159775,-77.584292
Colgate University,Hamilton,NY,2,3180.0,0.9117,87070.0,87070.0,70306.0,70306.0,70306.0,70306.0,0.1252,15000.0,85139.0,4.090722230705082,13346-1398,42.819475,-75.536346
Metropolitan College of New York,New York,NY,2,402.0,0.4,34203.0,34203.0,20188.0,20188.0,20188.0,20188.0,0.6512,27688.0,46236.0,2.9589929924733975,10006-1742,40.708706,-74.014702
Columbia University in the City of New York,New York,NY,2,8973.0,0.961,89472.0,89472.0,71845.0,71845.0,71845.0,71845.0,0.2271,21500.0,102491.0,3.4918968494794664,10027,40.808286,-73.961885
Columbia-Greene Community College,Hudson,NY,1,876.0,,14261.0,14261.0,6048.0,6048.0,11448.0,11448.0,0.2642,12000.0,44441.0,1.2835894781845594,12534,42.217613,-73.818113
Empire Beauty School-Queens,Astoria,NY,3,172.0,,,31946.0,,16657.0,,16657.0,0.6728,10667.0,24397.0,5.237693158994959,11103,40.759259,-73.919033
Continental School of Beauty Culture-Rochester,Rochester,NY,3,194.0,,,31946.0,,16657.0,,16657.0,0.6693,6333.0,23906.0,5.345268970133021,14623,43.086397,-77.626383
The Cooper Union for the Advancement of Science and Art,New York,NY,2,842.0,0.8111,64190.0,64190.0,46820.0,46820.0,46820.0,46820.0,0.2786,15000.0,83847.0,3.062244325974692,10003-7120,40.728148,-73.991609
Cornell University,Ithaca,NY,2,15995.0,0.9538,88140.0,88140.0,69314.0,69314.0,69314.0,69314.0,0.1841,14000.0,104043.0,3.388598944667109,14853,42.4472,-76.483084
Weill Medical College of Cornell University,New York,NY,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,14000.0,104043.0,1.7720750074488432,10065,40.764738,-73.954839
SUNY Corning Community College,Corning,NY,1,1138.0,,14197.0,14197.0,6534.0,6534.0,10326.0,10326.0,0.1798,12000.0,38817.0,1.4629672566143699,14830,42.116736,-77.072138
Pomeroy College of Nursing at Crouse Hospital,East Syracuse,NY,2,173.0,,,46093.0,21213.0,21213.0,21213.0,21213.0,0.3352,15250.0,83972.0,2.1956366407850236,13057-1687,43.101054,-76.056002
Culinary Institute of America,Hyde Park,NY,2,3011.0,0.6292,58790.0,58790.0,39850.0,39850.0,39850.0,39850.0,0.2894,15750.0,47475.0,4.953343865192206,12538-1499,41.745806,-73.933231
CUNY Bernard M Baruch College,New York,NY,1,16154.0,0.7212,14170.0,14170.0,7464.0,7464.0,15414.0,15414.0,0.5688,11512.0,75971.0,0.746074159876795,10010,40.740238,-73.983417
CUNY Borough of Manhattan Community College,New York,NY,1,18623.0,,12866.0,12866.0,5170.0,5170.0,8050.0,8050.0,0.567,7574.0,42306.0,1.2164704770008983,10007,40.71879,-74.011826
CUNY Bronx Community College,Bronx,NY,1,5964.0,,12677.0,12677.0,5206.0,5206.0,8086.0,8086.0,0.5961,8384.0,41307.0,1.227588544314523,10453,40.858112,-73.912043
CUNY Brooklyn College,Brooklyn,NY,1,10543.0,0.5386,14151.0,14151.0,7452.0,7452.0,15402.0,15402.0,0.5702,11000.0,60752.0,0.9317224124308665,11210,40.631517,-73.949898
College of Staten Island CUNY,Staten Island,NY,1,9657.0,0.3393,14795.0,14795.0,7490.0,7490.0,15440.0,15440.0,0.4959,14350.0,53501.0,1.1061475486439505,10314,40.601831,-74.14849
CUNY City College,New York,NY,1,12505.0,0.5682,14403.0,14403.0,7340.0,7340.0,15290.0,15290.0,0.6054,11990.0,66039.0,0.8723935856085041,10031,40.819846,-73.948542
CUNY Graduate School and University Center,New York,NY,1,3254.0,,,17783.0,7235.0,7235.0,15185.0,15185.0,0.3846,12584.0,65991.0,1.0779045627434043,10016,40.748612,-73.983822
CUNY Hostos Community College,Bronx,NY,1,4900.0,,13069.0,13069.0,5254.0,5254.0,8134.0,8134.0,0.6303,8442.0,40485.0,1.2912436704952452,10451,40.81812,-73.926759
CUNY Hunter College,New York,NY,1,16289.0,0.5686,13905.0,13905.0,7382.0,7382.0,15332.0,15332.0,0.5589,11000.0,63163.0,0.8805788198787264,10065,40.768669,-73.964795
CUNY John Jay College of Criminal Justice,New York,NY,1,11590.0,0.5583,14212.0,14212.0,7470.0,7470.0,15420.0,15420.0,0.5979,11000.0,56195.0,1.011620250912003,10019,40.770351,-73.98841
CUNY Kingsborough Community College,Brooklyn,NY,1,7670.0,,13580.0,13580.0,5252.0,5252.0,8132.0,8132.0,0.2457,7100.0,42621.0,1.274489101616574,11235,40.577222,-73.935812
CUNY LaGuardia Community College,Long Island City,NY,1,11254.0,,13648.0,13648.0,5218.0,5218.0,8098.0,8098.0,0.3785,7407.0,41653.0,1.3106378892276667,11101,40.7445,-73.935057
CUNY Lehman College,Bronx,NY,1,10696.0,0.5128,14121.0,14121.0,7410.0,7410.0,15360.0,15360.0,0.5994,10950.0,58013.0,0.9736438384500026,10468,40.872962,-73.895379
CUNY Medgar Evers College,Brooklyn,NY,1,3233.0,0.1977,14771.0,14771.0,7352.0,7352.0,15302.0,15302.0,0.5632,10988.0,46498.0,1.2706783087444622,11225,40.666256,-73.957076
CUNY New York City College of Technology,Brooklyn,NY,1,13580.0,0.2147,14110.0,14110.0,7332.0,7332.0,15282.0,15282.0,0.5507,10533.0,49365.0,1.1433201661095918,11201,40.695483,-73.987856
CUNY Queens College,Queens,NY,1,12550.0,0.5325,14367.0,14367.0,7538.0,7538.0,15488.0,15488.0,0.4717,10298.0,62763.0,0.9156350078868123,11367,40.736416,-73.820053
CUNY Queensborough Community College,Bayside,NY,1,8940.0,,12392.0,12392.0,5210.0,5210.0,8090.0,8090.0,0.4438,8600.0,44214.0,1.1210928665128692,11364-1497,40.755481,-73.756656
CUNY School of Law,Long Island City,NY,1,540.0,,,17783.0,,5507.0,,11010.0,0.3984,,40747.0,1.7456990698701744,11101,40.747797,-73.943621
CUNY York College,Jamaica,NY,1,4345.0,0.3225,14330.0,14330.0,7358.0,7358.0,15308.0,15308.0,0.4008,11000.0,56945.0,1.0065853016068136,11451,40.701576,-73.796313
CVPH Medical Center School of Radiologic Technology,Plattsburgh,NY,2,20.0,,,46093.0,,29060.0,,29082.0,0.3684,,40747.0,4.524799371732889,12901-1438,44.699929,-73.469597
D'Youville  University,Buffalo,NY,2,1258.0,0.6749,48539.0,48539.0,34940.0,34940.0,34940.0,34940.0,0.3918,25000.0,66942.0,2.9003615069761883,14201-1084,42.902636,-78.890868
Daemen University,Amherst,NY,2,1643.0,0.5888,45192.0,45192.0,35218.0,35218.0,35218.0,35218.0,0.4618,22091.0,61808.0,2.924669945638105,14226-3592,42.965605,-78.788111
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,Far Rockaway,NY,2,60.0,0.2,21150.0,21150.0,10800.0,10800.0,10800.0,10800.0,0.193,,40747.0,2.0762264706604165,11691-5219,40.60049,-73.743901
Dominican University New York,Orangeburg,NY,2,1105.0,0.5251,47802.0,47802.0,34220.0,34220.0,34220.0,34220.0,0.4839,25000.0,61171.0,3.125794902813425,10962-1210,41.047419,-73.950555
